Bank,region,Code,Animal-based energy,Bio-remediation,Buffering and attenuation of mass flows,Climate regulation,Dilution by atmosphere and ecosystems,Disease control,Fibres and other materials,Filtration,Flood and storm protection,Genetic materials,Ground water,Maintain nursery habitats,Mass stabilisation and erosion control,Mediation of sensory impacts,Pest control,Pollination,Soil quality,Surface water,Ventilation,Water flow maintenance,Water quality
NatWest,GB,E,1387.0631362387405,753.1566394586323,915.1914034572038,780.497225621766,843.877762661155,925.142577686422,832.5785676661637,867.3447120958598,1034.1416613134102,0.0,711.3146750645672,821.9299764381716,768.2200685611178,654.7326163973041,973.251244931594,917.9095413667347,839.8441706685222,880.2519103924019,853.5773966831847,834.3369501264906,592.7623477729184
NatWest,GB,F,1394.9812329026338,1009.8789675363106,999.111077363081,982.5225930190721,1037.7607990902502,1118.7474906471882,1042.9301905126852,1223.0034357368384,1367.3577330891476,0.0,963.7497807349752,1106.1063040387098,790.8187337553745,898.3880542109451,1112.0282579562042,1137.0276748657202,1082.6456951800324,963.3661101105919,1109.5396849216738,1135.7290904634294,845.5831610764847
NatWest,GB,G,4759.8563777095205,3824.276028628443,3173.7835051309034,3525.7614094298256,3649.04815572678,4230.355072251731,3686.60500006375,5123.11887405483,5425.164224405356,0.0,3869.803490456333,4321.061017579478,2547.437031523178,3704.4561444945725,3896.995772283003,3933.5405391066083,4155.248727680148,3134.5408272696295,4566.367073892053,4396.34950075616,3431.2264013454587
NatWest,GB,H,3334.1009092833924,2048.4023634070054,2402.744652543949,2382.5885002083573,2412.171970673539,2378.596593867138,2349.832226361031,2312.3603528645617,3269.983231459636,0.0,1934.6024482056832,2698.361673364584,2254.4886363247706,1742.8255030913974,2455.520440736549,2459.7168950152704,2387.7888535350803,2222.7346804334516,2222.7341247500585,2204.5150609017505,1831.6983715073452
NatWest,GB,I,188.38160639999978,136.66906766482137,84.90441516898633,82.57826680819194,89.90942874294602,124.05622117644965,116.23550335739914,182.30481684805264,130.41803519999957,0.0,125.5878003938686,86.20856047854981,21.52934797504571,128.44202748319705,106.91932066728738,132.97528482028335,98.85374595730377,94.19085029540159,146.519069062579,151.32296987804986,104.65652125952387
NatWest,GB,J,1635.3428608197037,1313.905715833999,997.7223247519637,858.9240291680973,930.078792327181,1453.4222079760157,1106.2117184002088,1760.1488807626226,1325.455998030769,0.0,1329.547576378394,973.4990415810785,519.6633119545708,1272.7392232859906,1338.8900229620535,1277.538481513627,1068.6401285670008,1076.933536866499,1568.8657811488388,1510.452879082355,952.8426203063349
NatWest,GB,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NatWest,GB,L,10917.786414350217,8114.435564066397,8545.311631039556,7677.348925825328,8377.393841694893,8445.118321636935,8124.737655000935,11068.72418621751,12297.505218657092,0.0,7933.209341320404,8300.69111702929,7308.237020289326,7798.419157048528,7924.88064729263,8914.664279104583,8400.674639054201,8188.342735169323,8895.975386249736,9443.332478707376,7625.124849302203
NatWest,GB,M,1260.321869150812,1012.5975092695921,768.9220990603769,661.9533822754926,716.7907538458122,1120.119723947959,852.5324285280818,1356.5070545968108,1021.4990513230769,0.0,1024.6523384987527,750.2537609067515,295.0999894197336,980.8714216842139,1031.8523514274527,984.5701017866606,823.5768514071952,829.9683941839896,1209.0894827725351,1164.0719762430153,734.3343227909412
NatWest,GB,N,1966.6057966542498,1444.89997467032,1384.1193806343963,1386.6079423553347,1448.6631673471043,1591.3426766332877,1484.1847307014102,1735.2405517147063,1928.786320930882,0.0,1371.054691537605,1576.4220872954993,1060.9762772980425,1277.768023696391,1575.7860933193974,1616.1555331966133,1530.7916283815468,1330.351488753189,1580.9970550883456,1611.9722261790907,1191.1039788930648
