region,Code,indout
HR,Q,3397.31220316
HR,R,2778.82529725
HR,S,6117.679537342
HR,T,643.231264024
HR,U,0.0
HU,A,11040.63254560828
HU,B,1298.0932608189898
HU,C,91666.96475603423
HU,D,8489.3362240886
HU,E,3105.7927381061
HU,F,20839.4357809
HU,G,19093.604094691
HU,H,15405.83359371191
HU,I,5858.16586743
HU,J,12625.95230583
HU,K,12692.853889
HU,L,11601.4843568
HU,M,1355.45241862
HU,N,9160.75998173
HU,O,15593.9428562
HU,P,28745.691945500002
HU,Q,7794.98695171
HU,R,6016.21823691
HU,S,52141.4303108
HU,T,0.0
HU,U,0.0
ID,A,204286.9834236776
ID,B,75168.88565342902
ID,C,629726.9340349295
ID,D,12832.31932112918
ID,E,88949.34288377699
ID,F,315003.557193
ID,G,32177.045252931002
ID,H,96609.44871828001
ID,I,155402.620146
ID,J,56512.20377013
ID,K,61882.4734177
ID,L,28895.020595
ID,M,1582.34080546
ID,N,21317.39858249
ID,O,46862.8834143
ID,P,66638.258753
ID,Q,17314.8271096
ID,R,44467.0995877
ID,S,106091.53022775
ID,T,6302.82498548
ID,U,0.0
IE,A,13239.47099170253
IE,B,1079.91050419693
IE,C,272305.5772768879
IE,D,2473.73780770654
IE,E,29322.13910234884
IE,F,69004.0553536
IE,G,39453.840768466
IE,H,66497.957154588
IE,I,14837.3938487
IE,J,89551.3838902
IE,K,83575.10046677
IE,L,26697.5484501
IE,M,3252.98185535
IE,N,66810.2915656
IE,O,21532.6282269
IE,P,52382.4375825
IE,Q,21746.5774391
IE,R,5572.90221576
IE,S,79605.98699153001
IE,T,289.098106917
IE,U,0.0
IN,A,739945.362175396
IN,B,116851.50060496245
IN,C,2025788.058276134
IN,D,149293.6120074887
IN,E,97710.588699886
IN,F,690047.548113
IN,G,238939.52488856
IN,H,308910.261742474
IN,I,130695.028385
IN,J,84978.068053
IN,K,243191.0193049
IN,L,192493.462062
IN,M,24927.7527623
IN,N,23266.65395005
IN,O,256545.679792
IN,P,193829.2040342
IN,Q,94943.7749927
IN,R,3593.47322673
IN,S,536045.09928214
IN,T,27301.1863267
IN,U,0.0
IT,A,66257.00798460303
IT,B,13592.650595283681
IT,C,840414.0971011175
IT,D,124859.91706832909
IT,E,113128.4796922654
IT,F,210681.794496
IT,G,226090.7530722
IT,H,181118.60422891
IT,I,150109.00669
IT,J,119637.40151
IT,K,147404.8039491
IT,L,243114.544272
IT,M,22762.4325286
IT,N,124838.4946491
IT,O,147918.538456
IT,P,299268.4345369
IT,Q,171233.468527
IT,R,55116.2062242
IT,S,414545.2112301
IT,T,22103.0526796
IT,U,0.0
JP,A,141095.0905683303
JP,B,17843.316629454068
JP,C,2433104.785470632
JP,D,220758.5468240899
JP,E,98978.03038145597
JP,F,618409.956308
JP,G,406040.61351131
JP,H,477013.367198618
JP,I,386549.509551
JP,J,334985.588086
JP,K,390499.6308094
JP,L,152626.203965
JP,M,138523.789886
JP,N,223087.23187800002
JP,O,379630.890235
JP,P,612820.729236
JP,Q,638806.481006
JP,R,131560.72386
JP,S,1205410.0532383
JP,T,662.834252096
JP,U,0.0
KR,A,54424.34894672156
KR,B,7728.576609880805
KR,C,1305086.8567000374
KR,D,75781.7105113554
KR,E,104371.836831383
KR,F,251427.541304
KR,G,79280.289490973
KR,H,146316.0697276
KR,I,160880.447987
KR,J,121916.2902263
KR,K,240634.54576490002
KR,L,182966.22716
KR,M,62753.5400494
KR,N,53873.133060399996
KR,O,200027.513917
KR,P,295434.51541500003
KR,Q,158921.127184
KR,R,91537.1521621
KR,S,675651.6011323
KR,T,7282.31460599
KR,U,0.0
LT,A,4834.011572712345
LT,B,262.0691403869338
LT,C,25034.746421297845
LT,D,2371.4760982154403
LT,E,1041.5909922430099
LT,F,6742.08739223
LT,G,5692.948731292
LT,H,6164.198659919901
LT,I,2802.48987136
LT,J,2760.4604695840003
LT,K,2731.766956132
LT,L,3918.59226388
LT,M,43.6580742485
LT,N,4178.964014441
LT,O,4398.42591088
LT,P,5701.193375639999
LT,Q,2366.60730023
LT,R,1169.62889618
LT,S,6684.9183954587
LT,T,41.4518002348
LT,U,0.0
LU,A,510.54497547622526
LU,B,158.216813969
LU,C,15759.01056026308
LU,D,1418.80787892559
LU,E,5589.39099382581
LU,F,8371.35149391
LU,G,9422.35288795
LU,H,8372.1662023919
LU,I,4231.69585795
LU,J,9516.581912649
LU,K,117991.35268014
LU,L,6461.37222499
LU,M,642.432036099
LU,N,3337.1178489
LU,O,4419.14386577
LU,P,15167.22890939
LU,Q,4483.98412491
LU,R,1876.49550485
LU,S,10842.0635149988
LU,T,260.507756236
LU,U,0.0
LV,A,3183.2521579783865
LV,B,443.3159528630285
LV,C,9991.454897809774
LV,D,1581.8208253231
LV,E,911.8277661093902
LV,F,8014.20891041
LV,G,5070.586610294
LV,H,4775.65431406682
LV,I,1723.14668658
LV,J,2775.989369292
LV,K,1824.8749806995
LV,L,5583.96151182
LV,M,98.0703218083
LV,N,4475.294958905
LV,O,3688.51351425
LV,P,4274.91423328
LV,Q,1207.9031666
LV,R,1263.01468836
LV,S,4488.4201571073
LV,T,36.1334967387
LV,U,0.0
MT,A,359.7236387269184
MT,B,60.15675959241605
MT,C,1930.0344971270208
MT,D,577.9272752760924
MT,E,480.02635461415684
MT,F,1309.12672972
MT,G,872.9864159875999
MT,H,1793.3567905464
MT,I,1820.17439217
MT,J,1508.5192384880002
MT,K,3056.8634414099997
MT,L,2514.84327078
MT,M,11.9741696138
MT,N,1665.350753944
MT,O,1854.13674218
MT,P,3807.3404566500003
MT,Q,2076.39348172
MT,R,1430.72161031
MT,S,4473.068704999
MT,T,98.7506222383
MT,U,0.0
MX,A,69738.16192621992
MX,B,44473.50905187286
MX,C,653916.2223145113
MX,D,22995.28758847726
MX,E,14567.923778973065
MX,F,163769.81256
MX,G,57454.006775859
MX,H,97897.45313091092
MX,I,105882.64921
MX,J,66893.8234756
MX,K,62970.97231654
MX,L,149630.310374
MX,M,2826.61331499
MX,N,14635.050624749998
MX,O,74247.8386273
MX,P,158151.62822259997
MX,Q,58471.8342276
MX,R,14818.9215085
MX,S,231661.18559924
MX,T,6015.11976287
MX,U,0.0
NL,A,36527.49716802253
NL,B,3304.3581001222
NL,C,316185.429624582
NL,D,7788.801236674133
NL,E,43904.8941791726
NL,F,124560.15032
NL,G,115688.53573584
NL,H,77281.071870107
NL,I,37735.247065
NL,J,73042.4413753
NL,K,79986.4796968
NL,L,88006.2655113
NL,M,12518.1528622
NL,N,47081.9949465
NL,O,85005.7193121
NL,P,198006.2443869
NL,Q,88340.9958837
NL,R,29696.4566042
NL,S,152126.77916014
NL,T,2842.41218143
NL,U,0.0
NO,A,18213.625860218
NO,B,72006.57735084736
NO,C,81412.30446819375
NO,D,7268.370731000589
NO,E,4953.79661608361
NO,F,62495.7090645
NO,G,16996.14152682
NO,H,40021.83736436544
NO,I,12462.6598344
NO,J,14423.25213368
NO,K,25798.41023531
NO,L,46012.2019093
NO,M,2560.47076353
NO,N,22152.60801078
NO,O,32526.0334716
NO,P,57712.2660583
NO,Q,45572.1084194
NO,R,14261.8743708
NO,S,53928.46010828
NO,T,306.076626067
NO,U,0.0
PL,A,35124.45183784936
PL,B,17312.115025405168
PL,C,312614.85215739027
PL,D,37931.297395543996
PL,E,32793.08402119711
PL,F,95518.7147116
PL,G,69643.26966947
PL,H,67204.44281373
PL,I,20692.5619931
PL,J,39767.3265368
PL,K,46314.156265850004
PL,L,37756.5193014
PL,M,5050.88225938
PL,N,35107.24315025
PL,O,47263.88983
PL,P,91891.0267748
PL,Q,30053.2623315
PL,R,14126.774539
PL,S,107785.22767451
PL,T,4406.23936356
PL,U,0.0
PT,A,10688.57685833631
PT,B,1598.2032640308523
PT,C,91258.19597400587
PT,D,16956.34576318014
PT,E,6932.4828678491895
PT,F,25702.2707616
PT,G,23039.562090984
PT,H,17432.837552164
PT,I,27808.6053606
PT,J,19480.10619597
PT,K,18760.59998737
PT,L,14928.857565
PT,M,1110.45802287
PT,N,10308.22658055
PT,O,21770.7887609
PT,P,43465.3108747
PT,Q,30249.9887735
PT,R,5509.81678541
PT,S,30158.09745811
PT,T,1356.5866527
PT,U,0.0
RO,A,19808.08140701427
RO,B,4939.64855397054
RO,C,106711.92430670731
RO,D,14202.576843558287
RO,E,8829.573791300832
RO,F,41213.1370201
RO,G,13990.255374923
RO,H,28131.824241322
RO,I,7650.02072089
RO,J,14615.53272242
RO,K,8548.21422552
RO,L,33118.5359782
RO,M,1363.68758439
RO,N,14017.68258864
RO,O,13509.3475442
RO,P,17050.528175530002
RO,Q,15354.8358448
RO,R,0.0
RO,S,35494.61697191
RO,T,0.0
RO,U,0.0
RU,A,110161.7281654021
RU,B,229741.0465267442
RU,C,621991.0290227799
RU,D,115275.59058303019
RU,E,150447.7895792015
RU,F,225928.180457
RU,G,149661.98523773
RU,H,104450.04046936
RU,I,63811.8719843
RU,J,76575.23375597999
RU,K,171417.7569633
RU,L,16679.5818634
RU,M,84274.1382232
RU,N,73488.29035172
RU,O,106840.244775
RU,P,113638.2520525
RU,Q,102992.822266
RU,R,33580.9164949
RU,S,179471.057558386
RU,T,572.76327147
RU,U,0.0
SE,A,13667.429669128958
SE,B,5575.358202274186
SE,C,161550.25035018608
SE,D,22432.54924819978
SE,E,19725.970724508737
SE,F,73315.3785789
SE,G,43344.781015506
SE,H,51796.744140833
SE,I,14534.3397165
SE,J,36805.37875622
SE,K,28201.761892430004
SE,L,46230.6759298
SE,M,10163.1843406
SE,N,54494.58431644
SE,O,31473.4988219
SE,P,97814.5027987
SE,Q,62652.7704971
SE,R,16719.3766129
SE,S,116288.60283998
SE,T,131.820280845
SE,U,0.0
SI,A,2338.600578510342
SI,B,575.6012821625343
SI,C,27233.68797533841
SI,D,2958.7355413761
SI,E,3147.9436814620026
SI,F,8671.74643017
SI,G,6400.063949688
SI,H,6347.54083109173
SI,I,2786.06866612
SI,J,4651.073249117
SI,K,3769.08244598
SI,L,2836.19079703
SI,M,539.343033639
SI,N,3387.368295877
SI,O,3886.03992203
SI,P,8664.28643074
SI,Q,3455.21451899
SI,R,1465.4449216
SI,S,12211.044031255
SI,T,27.4864950561
SI,U,0.0
SK,A,4849.19606797393
SK,B,872.0300246401
SK,C,71310.14130271337
SK,D,10040.107234341509
SK,E,4030.73380505402
SK,F,16560.872567
SK,G,11149.11334432
SK,H,11454.3141379505
SK,I,2129.71105354
SK,J,7344.830336929999
SK,K,8174.0776739190005
SK,L,8037.76419468
SK,M,601.910392879
SK,N,7023.92064502
SK,O,12113.2644761
SK,P,19023.37865693
SK,Q,6812.59261766
SK,R,2922.26264598
SK,S,26933.612819139
SK,T,0.0
SK,U,0.0
TR,A,78475.89358747707
TR,B,14986.64797543866
TR,C,349705.73359101155
TR,D,42978.43560365121
TR,E,7977.29126143991
TR,F,89208.6041912
TR,G,109705.40437064
TR,H,142410.68295357798
TR,I,76055.176872
TR,J,41732.232448669994
TR,K,92449.29351115
TR,L,76929.2061098
TR,M,4484.41035133
TR,N,39147.380536590004
TR,O,45175.5174889
TR,P,100236.90512390001
TR,Q,33039.1929011
TR,R,15164.8137965
TR,S,106445.16107769
TR,T,2140.5360123
TR,U,0.0
TW,A,20712.14885803051
TW,B,5140.3124457265
TW,C,554031.4157113797
TW,D,22853.441999640403
TW,E,10104.88572667816
TW,F,54954.3014333
TW,G,88737.07331138529
TW,H,26883.9507201644
TW,I,25718.4305722
TW,J,36196.1906131
TW,K,48420.56608878
TW,L,54598.8253646
TW,M,15037.6021612
TW,N,15062.06412131
TW,O,75978.6640309
TW,P,53084.0983376
TW,Q,19015.986445
TW,R,8199.47822009
TW,S,227625.62075642098
TW,T,5158.72475588
TW,U,0.0
US,A,527446.1371038887
US,B,429650.688199438
US,C,5610939.103899536
US,D,526632.2547455343
US,E,207196.479257953
US,F,1724812.36867
US,G,1754063.42749015
US,H,942725.3889931401
US,I,1668169.29875
US,J,2149620.387472
US,K,2646749.247179
US,L,3358595.82683
US,M,210132.624038
US,N,851655.922331
US,O,4499550.35948
US,P,3621746.3314
US,Q,1948216.38903
US,R,551153.041039
US,S,2769321.845745
US,T,22850.4064856
US,U,0.0
WA,A,602548.5210809801
WA,B,300622.58072206797
WA,C,1564497.985452199
WA,D,139349.56138586934
WA,E,43557.40794195425
WA,F,567065.990774
WA,G,685374.3218888401
WA,H,408562.62558569
WA,I,369484.352056
WA,J,185350.5757463
WA,K,307031.978704
WA,L,332441.002049
WA,M,46960.9753858
WA,N,215224.8962742
WA,O,340460.595887
WA,P,459238.04219999997
WA,Q,286872.153481
WA,R,85566.1309822
WA,S,770218.0788893
WA,T,41855.539628
WA,U,0.0
WE,A,74969.485694029
WE,B,28417.976783509
WE,C,201323.619341201
WE,D,35155.310225651876
WE,E,8497.006925126405
WE,F,57922.7263335
WE,G,57117.663370719994
WE,H,44376.745412997996
WE,I,24516.5221778
WE,J,30384.20385215
WE,K,26817.14290741
WE,L,33490.6462267
WE,M,3480.66494651
WE,N,28409.78705928
WE,O,35965.0702098
WE,P,47522.829764199996
WE,Q,28656.4780101
WE,R,7804.39140594
WE,S,75280.27772114
WE,T,429.372105378
WE,U,0.0
WF,A,544268.64091585
WF,B,203681.020260315
WF,C,477552.327238237
WF,D,48987.6831419104
WF,E,19039.385597415076
WF,F,319208.363772
WF,G,190486.92828141
WF,H,166375.56055071
WF,I,134022.105518
WF,J,102840.15503960001
WF,K,73245.82954790001
WF,L,103663.133545
WF,M,8438.66686319
WF,N,87786.6982173
WF,O,171065.360461
WF,P,131017.9800536
WF,Q,98839.1160331
WF,R,26226.113039
WF,S,236146.7445852
WF,T,8524.83080384
WF,U,0.0
WL,A,267415.265345841
WL,B,204351.4994026767
WL,C,828783.048745013
WL,D,79589.68435914424
WL,E,23377.03162370879
WL,F,356442.928911
WL,G,249112.18754401003
WL,H,150663.142634763
WL,I,144789.224772
WL,J,175621.61684909998
WL,K,167805.1279588
WL,L,198107.916472
WL,M,15592.9949807
WL,N,92920.7205701
WL,O,285275.739796
WL,P,269080.80452330003
WL,Q,192775.521641
WL,R,66580.4300786
WL,S,397988.7988806
WL,T,10695.4860291
WL,U,0.0
WM,A,236484.33966724
WM,B,613075.535601996
WM,C,933140.890436052
WM,D,143340.32261390012
WM,E,37140.693020341925
WM,F,533973.623977
WM,G,232838.12728696998
WM,H,212294.9466931
WM,I,152373.467613
WM,J,182243.1094013
WM,K,217919.06966500002
WM,L,264954.944589
WM,M,30712.5147816
WM,N,148504.0103969
WM,O,443063.604114
WM,P,368849.160016
WM,Q,228691.178181
WM,R,56785.1962806
WM,S,478921.7730527
WM,T,7726.72392275
WM,U,0.0
ZA,A,16965.05291370489
ZA,B,43148.589643526
ZA,C,161533.3228086919
ZA,D,8556.460101750103
ZA,E,35310.817459230835
ZA,F,30884.4850883
ZA,G,33183.936832283
ZA,H,30741.460543538702
ZA,I,11200.9597186
ZA,J,27522.59907746
ZA,K,47395.7265808
ZA,L,39980.7764287
ZA,M,561.937812273
ZA,N,11245.35619227
ZA,O,86558.9187145
ZA,P,30920.46518563
ZA,Q,18729.6675957
ZA,R,3317.94407284
ZA,S,42485.219076432
ZA,T,13722.5625839
ZA,U,0.0
