Bank,Sector,Geography,GBP m,EUR m
Bank Z,Wholesale and retail trade,Other countries,422.6967329,494.5551775
Bank Z,Transport and storage,Netherlands,67.07573537,78.47861039
Bank Z,Transport and storage,United Kingdom,2484.735654,2907.140716
Bank Z,Transport and storage,United States,88.87215529,103.9804217
Bank Z,Transport and storage,Other countries,151.1542114,176.8504274
Bank Z,Accomodation and food service activities,Luxembourg,41.53204168,48.59248877
Bank Z,Accomodation and food service activities,Netherlands,84.00493867,98.28577825
Bank Z,Accomodation and food service activities,United Kingdom,3111.856547,3640.87216
Bank Z,Accomodation and food service activities,United States,111.3025435,130.2239759
Bank Z,Accomodation and food service activities,Other countries,189.3039292,221.4855972
Bank Z,Information and communication,Luxembourg,33.16224357,38.79982498
Bank Z,Information and communication,Netherlands,67.07573537,78.47861039
Bank Z,Real estate activities,United States,655.1686747,766.5473494
Bank Z,Real estate activities,Other countries,1114.314197,1303.747611
Bank Z,"Professional, scientific and technical activities",Luxembourg,32.7983393,38.37405698
Bank Z,"Professional, scientific and technical activities",Netherlands,66.33968306,77.61742918
Bank Z,"Professional, scientific and technical activities",United Kingdom,2457.469529,2875.239348
Bank Z,"Professional, scientific and technical activities",United States,87.89692102,102.8393976
Bank Z,"Professional, scientific and technical activities",Other countries,149.4955281,174.9097678
Bank Z,Administrative and support service activities,Luxembourg,29.38233474,34.37733165
Bank Z,Administrative and support service activities,Netherlands,59.43028872,69.53343781
Bank Z,Administrative and support service activities,United Kingdom,2201.519767,2575.778128
Bank Z,Administrative and support service activities,United States,78.74230254,92.12849398
Bank Z,Administrative and support service activities,Other countries,133.9253066,156.6926088
Bank Z,"Public administration and defense, compulsory social security",Luxembourg,0.140866167,0.164813416
Bank Z,"Public administration and defense, compulsory social security",Netherlands,0.284923478,0.333360469
Bank Z,"Public administration and defense, compulsory social security",United Kingdom,10.55462933,12.34891631
Bank Z,Education,Netherlands,28.49234777,33.33604689
Bank Z,Education,United Kingdom,1055.462933,1234.891631
Bank Z,Education,United States,37.75100402,44.1686747
Bank Z,Education,Other countries,64.20709866,75.12230544
Bank Z,Human health services and social work activities,Luxembourg,40.29946272,47.15037138
Bank Z,Human health services and social work activities,Netherlands,81.51185824,95.36887415
Bank Z,Human health services and social work activities,Other countries,183.6858081,214.9123955
Bank Z,"Arts, entertainment and recreation",Luxembourg,6.139417128,7.18311804
Bank Z,"Arts, entertainment and recreation",Netherlands,12.4179149,14.52896044
Bank Z,"Arts, entertainment and recreation",United Kingdom,460.0059282,538.206936
Bank Z,"Arts, entertainment and recreation",United States,16.45314592,19.25018072
Bank Z,"Arts, entertainment and recreation",Other countries,27.98359383,32.74080479
Bank Z,Other services,Luxembourg,13.99270596,16.37146597
Bank Z,Other services,Netherlands,28.30239878,33.11380658
Bank Z,Other services,United Kingdom,1048.426513,1226.659021
Bank Z,Other services,United States,37.49933066,43.87421687
Bank Z,Other services,Other countries,63.77905134,74.62149007
Bank T,"Agriculture, forestry and fishing",Hong Kong,41.48146446,48.53331341
Bank T,"Agriculture, forestry and fishing",Korea,33.08212847,38.70609031
Bank T,"Agriculture, forestry and fishing",Singapore,36.85236852,43.11727117
Bank T,Mining and quarrying,Singapore,483.9744657,566.2501249
Bank T,Mining and quarrying,United States,481.772709,563.6740695
Bank T,Mining and quarrying,Other countries,1883.364719,2203.536721
Bank T,Manufacturing,Hong Kong,5275.902682,6172.806138
Bank T,Manufacturing,Korea,4207.616404,4922.911193
Bank T,Manufacturing,Singapore,4687.141895,5483.956018
Bank T,Manufacturing,United States,4665.818567,5459.007724
Bank T,Manufacturing,Other countries,18239.80045,21340.56653
Bank T,"Electricity, gas, steam and air conditioning supply",Hong Kong,788.5974882,922.6590612
Bank T,"Electricity, gas, steam and air conditioning supply",Korea,628.9190547,735.835294
Bank T,"Electricity, gas, steam and air conditioning supply",Singapore,700.5944856,819.6955481
Bank T,"Electricity, gas, steam and air conditioning supply",Other countries,2726.331717,3189.808109
Bank T,Water supply,Hong Kong,21.80868321,25.51615936
Bank T,Water supply,Korea,17.39277215,20.34954341
Bank T,Water supply,Singapore,19.37495798,22.66870083
Bank T,Water supply,United States,19.28681501,22.56557356
Bank T,Water supply,Other countries,75.39677166,88.21422284
Bank T,Construction,Hong Kong,194.9291582,228.0671151
Bank T,Construction,Korea,155.4591078,181.8871561
Bank T,Construction,United States,172.3883362,201.6943534
Bank T,Construction,Other countries,673.9072271,788.4714557
Bank T,Wholesale and retail trade,Hong Kong,2553.41459,2987.49507
Bank T,Wholesale and retail trade,Korea,2036.388797,2382.574892
Bank T,Wholesale and retail trade,Singapore,2268.468018,2654.107581
Bank T,Transport and storage,Korea,701.896975,821.2194607
Bank T,Transport and storage,Singapore,781.8894123,914.8106124
Bank T,Transport and storage,United States,778.3323439,910.6488423
Bank T,Transport and storage,Other countries,3042.687244,3559.944075
Bank T,Accomodation and food service activities,Hong Kong,157.4946659,184.2687591
Bank T,Accomodation and food service activities,Korea,125.604504,146.9572697
Bank T,Accomodation and food service activities,Singapore,139.9191553,163.7054117
Bank T,Information and communication,Singapore,393.8908982,460.8523509
Bank T,Information and communication,United States,392.0989608,458.7557842
Bank T,Information and communication,Other countries,1532.808595,1793.386056
Bank T,Real estate activities,Hong Kong,1610.694913,1884.513048
Bank T,Real estate activities,Korea,1284.554842,1502.929165
Bank T,Real estate activities,Singapore,1430.950505,1674.21209
Bank T,Real estate activities,United States,1424.440647,1666.595557
Bank T,Real estate activities,Other countries,5568.479094,6515.12054
Bank T,"Professional, scientific and technical activities",Hong Kong,69.0233582,80.75732909
Bank T,"Professional, scientific and technical activities",United States,61.04177534,71.41887715
Bank T,"Professional, scientific and technical activities",Other countries,238.6268959,279.1934682
Bank T,Administrative and support service activities,Hong Kong,92.06861623,107.720281
Bank T,Administrative and support service activities,Korea,73.42618757,85.90863946
Bank T,Administrative and support service activities,Singapore,81.79428135,95.69930918
Bank T,Administrative and support service activities,United States,81.42217264,95.26394199
Bank T,Administrative and support service activities,Other countries,318.2987422,372.4095284
Bank T,"Public administration and defense, compulsory social security",Hong Kong,0,0
Bank T,"Public administration and defense, compulsory social security",Other countries,0,0
Bank T,Education,Hong Kong,16.18788857,18.93982962
Bank T,Education,Korea,12.91009891,15.10481573
Bank T,Education,Singapore,14.38141211,16.82625216
Bank T,Education,United States,14.3159864,16.74970409
Bank T,Education,Other countries,55.96461401,65.4785984
Bank T,Human health services and social work activities,Singapore,53.83042448,62.98159664
Bank T,Human health services and social work activities,United States,53.58553242,62.69507294
Bank T,Human health services and social work activities,Other countries,209.4786594,245.0900315
Bank T,"Arts, entertainment and recreation",Hong Kong,18.99828589,22.22799449
Bank T,"Arts, entertainment and recreation",Korea,15.15143553,17.72717957
Bank T,"Arts, entertainment and recreation",Singapore,16.87818504,19.7474765
Bank T,"Arts, entertainment and recreation",United States,16.8014007,19.65763882
Bank T,"Arts, entertainment and recreation",Other countries,65.68069284,76.84641062
Bank T,Other services,Hong Kong,33.49993606,39.19492519
Bank T,Other services,Korea,26.71673247,31.258577
Bank T,Other services,Other countries,115.8156596,135.5043217
Bank V,"Agriculture, forestry and fishing",United Kingdom,3407.267729,3986.503243
Bank V,"Agriculture, forestry and fishing",Republic of Ireland,20.54380819,24.03625558
